tiporegistro,codformato,codcolumna,codcaptura,codsubcuenta,signo,valor,periodo
4,205,3,1,15,-,5,10/31/2019 12:00:00 AM
4,205,3,2,5,+,"1,072",10/31/2019 12:00:00 AM
4,205,3,3,5,+,"10,603",10/31/2019 12:00:00 AM
4,205,4,1,5,+,654,10/31/2019 12:00:00 AM
4,205,4,1,10,+,1,10/31/2019 12:00:00 AM
4,205,4,1,15,-,2,10/31/2019 12:00:00 AM
4,205,4,2,5,+,653,10/31/2019 12:00:00 AM
4,205,4,3,5,+,"3,538",10/31/2019 12:00:00 AM
4,205,5,1,5,+,85,10/31/2019 12:00:00 AM
4,205,5,1,10,+,0,10/31/2019 12:00:00 AM
4,205,5,1,20,+,0,10/31/2019 12:00:00 AM
4,205,5,1,25,-,0,10/31/2019 12:00:00 AM
4,205,5,2,5,+,85,10/31/2019 12:00:00 AM
4,205,5,3,5,+,458,10/31/2019 12:00:00 AM
4,205,6,1,5,+,537,10/31/2019 12:00:00 AM
4,205,6,1,10,+,0,10/31/2019 12:00:00 AM
4,205,6,1,20,+,5,10/31/2019 12:00:00 AM
4,205,6,1,25,-,4,10/31/2019 12:00:00 AM
4,205,6,2,5,+,538,10/31/2019 12:00:00 AM
4,205,6,3,5,+,"4,824",10/31/2019 12:00:00 AM
4,205,7,1,5,+,"2,382",10/31/2019 12:00:00 AM
4,205,7,1,10,+,2,10/31/2019 12:00:00 AM
4,205,7,1,15,-,7,10/31/2019 12:00:00 AM
4,205,7,1,20,+,5,10/31/2019 12:00:00 AM
4,205,7,1,25,-,4,10/31/2019 12:00:00 AM
4,205,7,2,5,+,"2,378",10/31/2019 12:00:00 AM
4,205,7,3,5,+,"19,586",10/31/2019 12:00:00 AM
4,205,1,1,5,+,22,09/30/2019 12:00:00 AM
4,205,1,1,10,+,0,09/30/2019 12:00:00 AM
4,205,1,1,15,-,0,09/30/2019 12:00:00 AM
4,205,1,2,5,+,22,09/30/2019 12:00:00 AM
4,205,1,3,5,+,140,09/30/2019 12:00:00 AM
4,205,2,1,5,+,8,09/30/2019 12:00:00 AM
4,205,2,1,10,+,0,09/30/2019 12:00:00 AM
4,205,2,1,15,-,0,09/30/2019 12:00:00 AM
4,205,2,2,5,+,8,09/30/2019 12:00:00 AM
4,205,2,3,5,+,23,09/30/2019 12:00:00 AM
4,205,3,1,5,+,"1,082",09/30/2019 12:00:00 AM
4,205,3,1,10,+,0,09/30/2019 12:00:00 AM
4,205,3,1,15,-,6,09/30/2019 12:00:00 AM
4,205,3,2,5,+,"1,076",09/30/2019 12:00:00 AM
4,205,3,3,5,+,"10,682",09/30/2019 12:00:00 AM
4,205,4,1,5,+,653,09/30/2019 12:00:00 AM
4,205,4,1,10,+,4,09/30/2019 12:00:00 AM
4,205,4,1,15,-,3,09/30/2019 12:00:00 AM
4,205,4,2,5,+,654,09/30/2019 12:00:00 AM
4,205,4,3,5,+,"3,540",09/30/2019 12:00:00 AM
4,205,5,1,5,+,85,09/30/2019 12:00:00 AM
4,205,5,1,10,+,0,09/30/2019 12:00:00 AM
4,205,5,1,20,+,1,09/30/2019 12:00:00 AM
4,205,5,1,25,-,1,09/30/2019 12:00:00 AM
4,205,5,2,5,+,85,09/30/2019 12:00:00 AM
4,205,5,3,5,+,535,09/30/2019 12:00:00 AM
4,205,6,1,5,+,532,09/30/2019 12:00:00 AM
4,205,6,1,10,+,0,09/30/2019 12:00:00 AM
4,205,6,1,20,+,4,09/30/2019 12:00:00 AM
4,205,6,1,25,-,2,09/30/2019 12:00:00 AM
4,205,6,2,5,+,537,09/30/2019 12:00:00 AM
4,205,6,3,5,+,"4,811",09/30/2019 12:00:00 AM
4,205,7,1,5,+,"2,385",09/30/2019 12:00:00 AM
4,205,7,1,10,+,4,09/30/2019 12:00:00 AM
4,205,7,1,15,-,9,09/30/2019 12:00:00 AM
4,205,7,1,20,+,5,09/30/2019 12:00:00 AM
4,205,7,1,25,-,3,09/30/2019 12:00:00 AM
4,205,7,2,5,+,"2,382",09/30/2019 12:00:00 AM
4,205,7,3,5,+,"19,654",09/30/2019 12:00:00 AM
4,205,1,1,5,+,23,08/31/2019 12:00:00 AM
4,205,1,1,10,+,0,08/31/2019 12:00:00 AM
4,205,1,1,15,-,1,08/31/2019 12:00:00 AM
4,205,1,2,5,+,22,08/31/2019 12:00:00 AM
4,205,1,3,5,+,140,08/31/2019 12:00:00 AM
4,205,2,1,5,+,8,08/31/2019 12:00:00 AM
4,205,2,1,10,+,0,08/31/2019 12:00:00 AM
4,205,2,1,15,-,0,08/31/2019 12:00:00 AM
4,205,2,2,5,+,8,08/31/2019 12:00:00 AM
4,205,2,3,5,+,23,08/31/2019 12:00:00 AM
4,205,3,1,5,+,"1,084",08/31/2019 12:00:00 AM
4,205,3,1,10,+,2,08/31/2019 12:00:00 AM
4,205,3,1,15,-,4,08/31/2019 12:00:00 AM
4,205,3,2,5,+,"1,082",08/31/2019 12:00:00 AM
4,205,3,3,5,+,"10,745",08/31/2019 12:00:00 AM
4,205,4,1,5,+,654,08/31/2019 12:00:00 AM
4,205,4,1,10,+,0,08/31/2019 12:00:00 AM
4,205,4,1,15,-,1,08/31/2019 12:00:00 AM
4,205,4,2,5,+,653,08/31/2019 12:00:00 AM
4,205,4,3,5,+,"3,527",08/31/2019 12:00:00 AM
4,205,5,1,5,+,87,08/31/2019 12:00:00 AM
4,205,5,1,10,+,0,08/31/2019 12:00:00 AM
4,205,5,1,20,+,0,08/31/2019 12:00:00 AM
4,205,5,1,25,-,2,08/31/2019 12:00:00 AM
4,205,5,2,5,+,85,08/31/2019 12:00:00 AM
4,205,5,3,5,+,457,08/31/2019 12:00:00 AM
4,205,6,1,5,+,534,08/31/2019 12:00:00 AM
4,205,6,1,10,+,0,08/31/2019 12:00:00 AM
4,205,6,1,20,+,1,08/31/2019 12:00:00 AM
4,205,6,1,25,-,0,08/31/2019 12:00:00 AM
4,205,6,2,5,+,535,08/31/2019 12:00:00 AM
4,205,6,3,5,+,"4,798",08/31/2019 12:00:00 AM
4,205,7,1,5,+,"2,390",08/31/2019 12:00:00 AM
4,205,7,1,10,+,2,08/31/2019 12:00:00 AM
4,205,7,1,15,-,6,08/31/2019 12:00:00 AM
4,205,7,1,20,+,1,08/31/2019 12:00:00 AM
4,205,7,1,25,-,2,08/31/2019 12:00:00 AM
4,205,7,2,5,+,"2,385",08/31/2019 12:00:00 AM
4,205,7,3,5,+,"19,690",08/31/2019 12:00:00 AM
4,205,1,1,5,+,23,07/31/2019 12:00:00 AM
4,205,1,1,10,+,0,07/31/2019 12:00:00 AM
4,205,1,1,15,-,0,07/31/2019 12:00:00 AM
4,205,1,2,5,+,23,07/31/2019 12:00:00 AM
4,205,1,3,5,+,141,07/31/2019 12:00:00 AM
4,205,2,1,5,+,8,07/31/2019 12:00:00 AM
